ID;Origem;Modal;Segmento
133990;AutoCadastro;MOTORCYCLE;Desistiu
2174811;AutoCadastro;MOTORCYCLE;Fiel
609512;AutoCadastro;BIKE;Fiel
662330;EmpresaParceira;MOTORCYCLE;Fiel
6704236;EmpresaParceira;CAR;Desistiu
1635473;AutoCadastro;BIKE;Fiel
951926;AutoCadastro;MOTORCYCLE;Fiel
602490;AutoCadastro;MOTORCYCLE;Fiel
1371001;AutoCadastro;BIKE;Fiel
241333;EmpresaParceira;MOTORCYCLE;Fiel
2383229;EmpresaParceira;BIKE;Fiel
4335;EmpresaParceira;BIKE;Fiel
733654;AutoCadastro;MOTORCYCLE;Desistiu
1177485;EmpresaParceira;MOTORCYCLE;Fiel
960359;EmpresaParceira;MOTORCYCLE;Fiel
3660;EmpresaParceira;CAR;Desistiu
2067461;AutoCadastro;CAR;Novo
2456500;AutoCadastro;BIKE;Fiel
584619;AutoCadastro;MOTORCYCLE;Fiel
2217080;AutoCadastro;MOTORCYCLE;Desistiu
1297119;AutoCadastro;BIKE;Desistiu
1873616;EmpresaParceira;BIKE;Fiel
2771970;AutoCadastro;MOTORCYCLE;Novo
427671;AutoCadastro;MOTORCYCLE;Desistiu
570949;AutoCadastro;MOTORCYCLE;Fiel
1771517;AutoCadastro;MOTORCYCLE;Fiel
1882808;AutoCadastro;MOTORCYCLE;Fiel
489046;EmpresaParceira;MOTORCYCLE;Fiel
1179234;AutoCadastro;MOTORCYCLE;Fiel
2336738;AutoCadastro;MOTORCYCLE;Fiel
468819;AutoCadastro;BIKE;Fiel
389021;AutoCadastro;MOTORCYCLE;Fiel
2150473;EmpresaParceira;MOTORCYCLE;Fiel
2808;EmpresaParceira;BIKE;Fiel
2640077;EmpresaParceira;BIKE;Novo
208419;AutoCadastro;MOTORCYCLE;Fiel
546679;AutoCadastro;BIKE;Fiel
967;EmpresaParceira;CAR;Desistiu
835781;AutoCadastro;MOTORCYCLE;Fiel
846061;AutoCadastro;MOTORCYCLE;Fiel
2662152;EmpresaParceira;BIKE;Fiel
4316756;EmpresaParceira;BIKE;Fiel
5278;EmpresaParceira;BIKE;Fiel
647241;AutoCadastro;BIKE;Fiel
2693156;EmpresaParceira;CAR;Desistiu
221039;AutoCadastro;MOTORCYCLE;Fiel
275888;EmpresaParceira;MOTORCYCLE;Desistiu
6823;EmpresaParceira;CAR;Desistiu
